title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
Tales of Phantasia: Narikiri Dungeon X,PSP,Role-Playing,Namco Bandai,,,0.21,,,0.21
Blue Dragon Plus,DS,Role-Playing,Ignition Entertainment,6.5,0.12,0.05,0.03,0.01,0.21
Dragon's Dogma: Dark Arisen,PS4,Role-Playing,Capcom,,0.07,0.03,0.07,0.03,0.21
Shin Megami Tensei: Persona 3 (jp sales),PS2,Role-Playing,Atlus,,,0.21,,,0.21
Naruto: Clash of Ninja (JP sales),GC,Fighting,D3 Publisher,,,0.21,,0.01,0.21
Dragon Ball Z Hyper Dimension,SNES,Fighting,Bandai,,,0.21,,,0.21
HBO Boxing,PS,Fighting,Acclaim Entertainment,,0.12,,0.08,0.01,0.21
Tekken 3D: Prime Edition,3DS,Fighting,Namco Bandai,6.5,0.06,0.05,0.08,0.01,0.21
Dark Summit,PS2,Sports,THQ,,0.11,,0.08,0.03,0.21
Cabela's Big Game Hunter: Ultimate Challenge,PS,Sports,Activision Value,,0.12,,0.08,0.01,0.21
The Lord of the Rings: War in the North,PC,Role-Playing,Warner Bros. Interactive,6.5,0.07,,0.11,0.03,0.21
The Bard's Tale,PS2,Role-Playing,inXile Entertainment,,0.1,,0.08,0.03,0.21
Wacky Races: Crash & Dash,DS,Racing,Warner Bros. Interactive,,0.19,,0,0.01,0.21
Speed Racer: The Videogame,PS2,Racing,Warner Bros. Interactive,,0.1,,0.08,0.03,0.21
Wild Wild Racing,PS2,Racing,Interplay,,0.1,,0.08,0.03,0.21
Baja: Edge of Control,PS3,Racing,THQ,5,0.1,,0.08,0.03,0.21
DiRT Rally,XOne,Racing,Codemasters,,0.12,,0.08,0.02,0.21
TRON: Evolution - Battle Grids,Wii,Racing,Disney Interactive Studios,,0.17,,0.03,0.01,0.21
Shrek: Reekin' Havoc,GBA,Platform,TDK Mediactive,,0.15,,0.06,0,0.21
NBA Live 18,XOne,Sports,EA Sports,,0.18,,,0.02,0.21
Pro Yakyuu Spirits 2010,PS3,Sports,Konami,,,0.21,,,0.21
Gallop Racer 2003: A New Breed,PS2,Sports,Tecmo,,0.04,0.12,0.03,0.01,0.21
Outlaw Golf 2,XB,Sports,Global Star Software,,0.15,,0.04,0.01,0.21
J-League Winning Eleven 10 + Europa League 06-07,PS2,Sports,Konami,,,0.21,,,0.21
The Sims 4: Cats & Dogs,PC,Simulation,Electronic Arts,,,,0.2,0.01,0.21
Discovery Kids: Pony Paradise,DS,Simulation,505 Games,,0.19,,,0.01,0.21
NCAA Football 10,PSP,Sports,EA Sports,7,0.19,,,0.02,0.21
NHL 2003,XB,Sports,EA Sports,,0.15,,0.04,0.01,0.21
The Naked Brothers Band: The Video Game,DS,Misc,THQ,,0.18,,,0.01,0.2
Treasure Hunter G,SNES,Role-Playing,Square,,,0.2,,,0.2
Magical Tetris Challenge,N64,Puzzle,Capcom,,0.13,0.05,0.02,0,0.2
Bust-A-Move 2 Arcade Edition,PS,Puzzle,Acclaim Entertainment,6.9,0.11,,0.07,0.01,0.2
Batman: Return to Arkham,XOne,Action,Warner Bros. Interactive Entertainment,,0.12,,0.06,0.02,0.2
Way of the Samurai 4,PS3,Action,Acquire,,,0.16,0.03,0.01,0.2
Predator: Concrete Jungle,PS2,Action,VU Games,,0.1,,0.07,0.03,0.2
Tigger's Honey Hunt,N64,Platform,NewKidCo,7.3,0.16,,0.04,0,0.2
Classic NES Series: Ice Climber,GBA,Platform,Nintendo,6.1,,0.2,,,0.2
Record of Agarest War,X360,Role-Playing,Aksys Games,7,0.18,0.01,,0.01,0.2
Dragon Quest Monsters: Joker 3 - Professional,3DS,Role-Playing,Square Enix,,,0.2,,,0.2
Puzzle Challenge: Crosswords and More!,PSP,Puzzle,Crave Entertainment,6.4,0.18,,,0.01,0.2
Mahjongg Mysteries: Ancient Egypt,DS,Puzzle,Destineer,,0.07,,0.11,0.02,0.2
Enchanted Arms,PS3,Role-Playing,Ubisoft,5.9,0.17,,0.01,0.02,0.2
Dragon Ball Z: Harukanaru Densetsu,DS,Role-Playing,Atari,,0.19,,,0.02,0.2
Mana Khemia 2: Fall of Alchemy,PS2,Role-Playing,NIS America,8.2,0.07,0.05,0.05,0.02,0.2
Le Mans 24 Hours,PS2,Racing,Infogrames,,0.09,0.02,0.07,0.02,0.2
Pitfall: The Lost Expedition,PS2,Platform,Activision,,0.1,,0.08,0.03,0.2
Disney's Tarzan,N64,Platform,Activision,,0.16,,0.04,0,0.2
Capcom Fighting Evolution,PS2,Fighting,Capcom,,0.1,,0.08,0.03,0.2
Kingdom Hearts: The Story So Far,PS4,Role-Playing,Square Enix,,0.17,,,0.04,0.2
EVE Online,PC,Role-Playing,Simon & Schuster Interactive,,,,0.19,0.01,0.2
Phantasy Star Online,DC,Role-Playing,Sega,8.9,,0.2,,,0.2
Shining Blade,PSP,Role-Playing,Sega,,,0.2,,,0.2
Super Baseball Simulator 1.000,SNES,Sports,Culture Brain,,,0.2,,0,0.2
Backyard Hockey,GBA,Sports,Atari,6,0.14,,0.05,0,0.2
Yoga: The first 100% Experience,Wii,Sports,DreamCatcher Interactive,,0.14,,0.04,0.02,0.2
Jikkyou Powerful Pro Yakyuu 2010,PSP,Sports,Konami,,,0.2,,,0.2
Twisted Edge Extreme Snowboarding,N64,Sports,Midway Games,,0.16,,0.04,0,0.2
Cabela's North American Adventures,Wii,Sports,Activision,,0.19,,,0.01,0.2
Ashes Cricket 2009,X360,Sports,Codemasters,,,,0.19,0.01,0.2
MLB SlugFest 20-03,XB,Sports,Midway Games,,0.15,,0.04,0.01,0.2
Pro Yakyuu Spirits 2012,PSP,Sports,Konami Digital Entertainment,,,0.2,,,0.2
Dead or Alive Paradise,PSP,Misc,Tecmo,4.5,0.08,0.07,0.02,0.02,0.2
San Francisco Rush 2049,N64,Racing,Midway Games,,0.16,,0.04,0,0.2
IHRA Drag Racing 2004,XB,Racing,Bethesda Softworks,,0.15,,0.04,0.01,0.2
Ford Racing Off Road,PS2,Racing,Strategy First,,0.1,,0.08,0.03,0.2
Project CARS 2,XOne,Racing,Namco Bandai Games,9.2,0.01,,0.18,0.01,0.2
The King of Fighters '95,NG,Fighting,SNK,,,0.2,,,0.2
Big Mutha Truckers 2,PS2,Racing,THQ,,0.1,,0.07,0.03,0.2
Speed Punks,PS,Racing,Sony Computer Entertainment,,0.11,,0.08,0.01,0.2
Roadsters 99,N64,Racing,Titus,6.4,0.06,,0.13,0.01,0.2
Crazy Taxi 3: High Roller,XB,Racing,Sega,,0.14,0.02,0.04,0.01,0.2
Midnight Club 3: DUB Edition Remix,XB,Racing,Rockstar Games,,0.15,,0.04,0.01,0.2
Baja: Edge of Control,X360,Racing,THQ,5,0.12,,0.06,0.02,0.2
MotoGP 14,PS4,Racing,Namco Bandai Games,,0.05,,0.11,0.03,0.2
Spy Hunter,GC,Racing,Midway Games,7.9,0.16,,0.04,0.01,0.2
Monster Jam,X360,Racing,Activision,,0.18,,0,0.02,0.2
NBA 07,PSP,Sports,Sony Computer Entertainment,6.9,0.18,,,0.02,0.2
Famista 64,N64,Sports,Unknown,,,0.17,,0.03,0.2
Tiger Woods PGA Tour 06,PSP,Sports,EA Sports,8,0.18,,,0.01,0.2
Jikkyou Powerful Pro Yakyuu 2011,PSP,Sports,Konami,,,0.2,,,0.2
God Eater Resurrection,PSV,Action,Namco Bandai Games,,,0.2,,,0.2
LEGO Harry Potter: Years 5-7,PSV,Action,Warner Bros. Interactive Entertainment,,0.07,,0.09,0.04,0.2
Shaun White Skateboarding,PS3,Sports,Ubisoft,6.6,0.12,,0.05,0.03,0.2
NBA 2K2,XB,Sports,Sega,,0.15,,0.04,0.01,0.2
Snowboard Kids,N64,Sports,Atlus,8,0.16,,0.04,0,0.2
Pro Yakyuu Spirits 2013,PSP,Sports,Konami Digital Entertainment,,,0.2,,,0.2
Dave Mirra Freestyle BMX 2,XB,Sports,Acclaim Entertainment,,0.15,,0.04,0.01,0.2
MVP Baseball 2003,XB,Sports,EA Sports,,0.15,,0.04,0.01,0.2
NCAA Final Four 2004,PS2,Sports,Sony Computer Entertainment,,0.1,,0.08,0.03,0.2
Treasure World,DS,Simulation,Aspyr,,0.18,,,0.02,0.2
NHL FaceOff 2001,PS2,Sports,Sony Computer Entertainment,4.6,0.1,,0.07,0.02,0.2
The BIGS 2,PS2,Sports,2K Sports,,0.1,,0.08,0.03,0.2
Rocket Power: Zero Gravity Zone,GBA,Sports,THQ,,0.14,,0.05,0,0.2
ESPN MLB Baseball,PS2,Sports,Sega,,0.1,,0.08,0.03,0.2
Mat Hoffman's Pro BMX 2,XB,Sports,Activision,,0.15,,0.04,0.01,0.2
Pro Yakyuu Spirits 2013,PS3,Sports,Konami Digital Entertainment,,,0.2,,,0.2
Cabela's Big Game Hunter (2008),PS2,Sports,Activision,,0.1,,0.08,0.03,0.2
UFC Personal Trainer: The Ultimate Fitness System,Wii,Sports,THQ,,0.12,,0.06,0.02,0.2
Mobile Suit Gundam: Crossfire,PS3,Simulation,Namco Bandai,,0.06,0.14,0,0.01,0.2
Harvest Moon: More Friends of Mineral Town,GBA,Simulation,Natsume,8,0.14,,0.05,0,0.2
DarkStar One: Broken Alliance,X360,Simulation,Kalypso,6.4,0.11,,0.07,0.02,0.2
Apache: Air Assault,PS3,Simulation,Activision,,0.11,,0.06,0.02,0.2
Beyblade G-Revolution,GBA,Action,Atari,2.4,0.15,,0.05,0,0.2
Godzilla (2015),PS4,Action,Namco Bandai Games,,0.11,0.03,0.03,0.03,0.2
Sengoku Basara 2 Heroes,PS2,Action,Capcom,,,0.2,,,0.2
NFL Street 2,GC,Sports,EA Sports BIG,8.2,0.15,,0.04,0.01,0.2
UFC: Tapout,XB,Fighting,Crave Entertainment,,0.14,,0.05,0.01,0.2
Injustice: Gods Among Us,WiiU,Fighting,Warner Bros. Interactive Entertainment,,0.09,0,0.09,0.02,0.2
Shrek: Forever After,PS3,Platform,Activision,,0.16,,0.02,0.03,0.2
The Fairly Odd Parents: Shadow Showdown,GC,Platform,THQ,,0.16,,0.04,0.01,0.2
X2: Wolverine's Revenge,GBA,Platform,Activision,7.7,0.14,,0.05,0,0.2
Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,Platform,Activision,,0.11,,0.07,0.02,0.2
All Star Pro-Wrestling,PS2,Fighting,Square,,,0.2,,,0.2
Arcana Heart 3,PS3,Fighting,Aksys Games,7,0.04,0.1,0.05,0.02,0.2
Ty the Tasmanian Tiger 2: Bush Rescue,GC,Platform,Electronic Arts,7.4,0.15,,0.04,0.01,0.2
The King of Fighters Collection: The Orochi Saga,PS2,Fighting,SNK Playmore,,0.1,,0.08,0.03,0.2
Samurai Spirits (CD),NG,Fighting,SNK,,,0.2,,0,0.2
From TV Animation One Piece: Grand Battle! 3,GC,Fighting,Bandai,,,0.2,,0.01,0.2
SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,Platform,THQ,,0.15,,0.04,0.01,0.2
Ratatouille,GBA,Platform,THQ,6.8,0.14,,0.05,0,0.2
The Fairly Odd Parents: Enter the Cleft,GBA,Platform,THQ,,0.14,,0.05,0,0.2
Kung Fu Rider,PS3,Action,Sony Computer Entertainment,4.3,0.06,0.01,0.1,0.04,0.2
Code of Princess,3DS,Action-Adventure,Atlus,7.2,0.16,0.03,,0.02,0.2
The Amazing Spider-Man (2012),DS,Action-Adventure,Activision,,0.15,,0.03,0.02,0.2
Castlevania: Lords of Shadow 2,PS3,Action-Adventure,Konami Digital Entertainment,,0.03,0.02,0.13,0.03,0.2
CSI: Unsolved!,DS,Adventure,Ubisoft,,0.13,,0.05,0.02,0.2
Sleeping Dogs: Definitive Edition,XOne,Action-Adventure,Square Enix,7.5,0.1,,0.09,0.02,0.2
Skylanders: SuperChargers Racing,3DS,Action-Adventure,Activision,,0.11,,0.07,0.02,0.2
Grandia II,DC,Role-Playing,Ubisoft,8.6,,0.2,,0,0.2
Untold Legends: Dark Kingdom,PS3,Role-Playing,Sony Online Entertainment,,0.14,0.02,0.02,0.02,0.2
Sid Meier's Pirates!,PSP,Strategy,2K Games,8.5,0.16,,0.01,0.02,0.2
Nobunaga no Yabou: Reppuuden,PS,Strategy,KOEI,,,0.19,,0.01,0.2
Bleach: The 3rd Phantom,DS,Role-Playing,Sega,,0.1,0.07,0.02,0.01,0.2
CandyLand / Chutes & Ladders / Memory,GBA,Misc,DSI Games,,0.15,,0.05,0,0.2
The Bible Game,PS2,Misc,Crave Entertainment,,0.1,,0.08,0.03,0.2
Neighborhood Games,Wii,Misc,THQ,,0.17,,0.02,0.01,0.2
My Secret World by Imagine,DS,Misc,Ubisoft,,,,0.2,,0.2
Taiko no Tatsujin: Waku Waku Anime Matsuri,PS2,Misc,Namco,,,0.2,,,0.2
"Ni Hao, Kai-lan: New Year's Celebration",DS,Misc,2K Play,,0.19,,0,0.01,0.2
The Cheetah Girls: Passport to Stardom,DS,Misc,Disney Interactive Studios,,0.18,,,0.01,0.2
SingStar: Back to the 80s,PS3,Misc,Sony Computer Entertainment,,,,0.16,0.04,0.2
Jissen Pachi-Slot Hisshouhou! Aladdin A,PS2,Misc,Sammy Corporation,,,0.2,,,0.2
Namco Museum: 50th Anniversary,GBA,Misc,Namco,,0.14,,0.05,0,0.2
Press Your Luck 2010 Edition,DS,Misc,Ubisoft,,0.19,,,0.01,0.2
Taiko no Tatsujin: Go! Go! Godaime,PS2,Misc,Namco,,,0.2,,,0.2
Taiko Drum Master,PS2,Misc,Namco,8.1,0.1,,0.08,0.03,0.2
Just Dance 2: Extra Songs,Wii,Misc,Ubisoft,,,,0.17,0.03,0.2
Rock Band Track Pack Volume 2,X360,Misc,MTV Games,,0.18,,0.01,0.02,0.2
Langrisser III,SAT,Strategy,NCS,,,0.2,,,0.2
Super Robot Taisen 64,N64,Strategy,Banpresto,,,0.2,,0,0.2
Namco Museum Vol.4,PS,Misc,Namco,,0.02,0.16,0.01,0.01,0.2
Trade & Battle: Card Hero,GB,Strategy,Nintendo,,,0.2,,0,0.2
SD Gundam GNext,SNES,Strategy,Bandai,,,0.2,,,0.2
Thrillville,PSP,Strategy,LucasArts,7.4,0.18,,0,0.02,0.2
Suikoden Tactics,PS2,Strategy,Konami,,0.06,0.07,0.05,0.02,0.2
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Wii,Adventure,Activision,,0.11,,0.07,0.02,0.2
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,Adventure,Buena Vista,,0.15,,0.04,0.01,0.2
Disney Art Academy,3DS,Misc,Nintendo,,0.04,0.1,0.06,0.01,0.2
World Championship Cards,PSP,Misc,Crave Entertainment,3.9,0.19,,,0.02,0.2
Buzz! The Schools Quiz,PS2,Misc,Sony Computer Entertainment,,,,0.02,0.19,0.2
Earth Defense Force: Insect Armageddon,PS3,Shooter,D3 Publisher,6.6,0.06,0.08,0.04,0.02,0.2
Body Harvest,N64,Shooter,Midway Games,,0.16,,0.04,0,0.2
Front Mission Evolved,X360,Shooter,Square Enix,,0.1,0.02,0.07,0.02,0.2
Wing Arms,SAT,Shooter,Sega,,,0.2,,,0.2
We Sing Robbie Williams,Wii,Misc,Nordic Games,,,,0.18,0.02,0.2
Bratz: Rock Angelz,GC,Misc,THQ,,0.16,,0.04,0.01,0.2
Deal or No Deal: The Banker is Back!,DS,Misc,Mindscape,,,,0.2,0,0.2
Wizards of Waverly Place: Spellbound,DS,Misc,Disney Interactive Studios,,0.16,,0.03,0.01,0.2
CSI: Deadly Intent,X360,Adventure,Ubisoft,,0.1,,0.08,0.02,0.2
Eagle Flight,PS4,Adventure,Ubisoft,,0.09,,0.08,0.03,0.2
Black Panther 2: Yakuza Ashura Chapter,PSP,Adventure,Sega,,,0.2,,,0.2
Just Dance: Greatest Hits,Wii,Music,Ubisoft,,0.14,,0.04,0.02,0.2
The Ultimate Red Ball Challenge,Wii,Misc,Mindscape,,,,0.19,0.01,0.2
Prince of Persia: Warrior Within,GC,Adventure,Ubisoft,8.2,0.15,,0.04,0.01,0.2
Shutter Island,PC,Adventure,Merscom LLC,,,,0.17,0.03,0.2
DanceMasters,X360,Misc,Konami,6.2,0.15,0.02,0.02,0.01,0.2
Body and Brain Connection,X360,Misc,Namco Bandai,6,0.1,,0.08,0.02,0.2
Rock Band Track Pack: Classic Rock,PS2,Misc,MTV Games,,0.1,,0.08,0.03,0.2
The Thing,XB,Adventure,VU Games,,0.15,,0.04,0.01,0.2
Chronicles of Mystery: Curse of the Ancient Temple,DS,Adventure,City Interactive,,0.07,,0.1,0.02,0.2
Mary-Kate and Ashley: Girls Night Out,GBA,Misc,Acclaim Entertainment,,0.15,,0.05,0,0.2
Jillian Michaels' Fitness Adventure,X360,Misc,Majesco,,0.17,,0.02,0.02,0.2
Battleborn,PC,Shooter,2K Games,,0.12,,0.06,0.02,0.2
Tom Clancy's Splinter Cell: Essentials,PSP,Shooter,Ubisoft,5.6,0.17,,0.01,0.02,0.2
Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,SAT,Shooter,Bandai,,,0.2,,,0.2
Sniper: Ghost Warrior 2,X360,Shooter,City Interactive,,0.06,0,0.12,0.01,0.2
Gladius,PS2,Strategy,LucasArts,,0.1,,0.08,0.03,0.2
Total War: Shogun 2 - Fall of the Samurai,PC,Strategy,Sega,,0.07,,0.1,0.02,0.2
Dead to Rights II,PS2,Shooter,Namco,,0.1,,0.08,0.03,0.2
MDK,PS,Shooter,Playmates,,0.11,,0.08,0.01,0.2
Titanfall 2,PC,Shooter,Electronic Arts,,0.06,,0.12,0.01,0.2
Soldier of Fortune: Payback,X360,Shooter,Activision,,0.18,,0,0.02,0.2
Clive Barker's Jericho,PS3,Shooter,Codemasters,5.8,0.17,,0.01,0.02,0.2
MC Groovz Dance Craze,GC,Misc,Mad Catz,2.5,0.15,,0.04,0.01,0.2
DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,DS,Misc,Shogakukan,,,0.2,,,0.2
Shining Hearts,PSP,Role-Playing,Sega,,,0.2,,,0.2
Solatorobo: Red the Hunter,DS,Role-Playing,Xseed Games,7.6,0.08,0.07,0.04,0.01,0.2
Ore no Shikabane o Koete Yuke,PSP,Role-Playing,Sony Computer Entertainment,,,0.2,,,0.2
Shin Megami Tensei: Strange Journey Redux,3DS,Role-Playing,Atlus,,0.08,0.1,0.01,0.01,0.2
WRC: FIA World Rally Championship,PS3,Racing,Unknown,,0,0.01,0.14,0.04,0.2
Cars,XB,Racing,THQ,,0.15,,0.04,0.01,0.2
Marvel: Ultimate Alliance 2,DS,Role-Playing,Activision,,0.16,,0.03,0.02,0.2
Dark Messiah of Might and Magic Elements,X360,Role-Playing,Ubisoft,5,0.16,0.01,0.02,0.02,0.2
PBR: Out of the Chute,PS2,Sports,Crave Entertainment,,0.1,,0.08,0.03,0.2
Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,PS2,Sports,Konami,,,0.2,,,0.2
Infinite Space,DS,Role-Playing,Sega,7.2,0.06,0.07,0.05,0.01,0.2
7th Dragon 2020,PSP,Role-Playing,Sega,,,0.2,,,0.2
Ogre Battle Saga Episode Five: The March of the Black Queen,PS,Role-Playing,Atlus,7.6,0.06,0.09,0.04,0.01,0.2
The Legend of Heroes: Ao no Kiseki,PSP,Role-Playing,Falcom Corporation,,,0.2,,,0.2
Backyard NFL Football 2006,PS2,Sports,Atari,,0.1,,0.08,0.03,0.2
NCAA March Madness 06,XB,Sports,EA Sports,,0.15,,0.04,0.01,0.2
International Superstar Soccer 2000,PS2,Sports,Konami,,,0.2,,,0.2
Major League Baseball 2K11,PS3,Sports,2K Sports,,0.15,,0.03,0.02,0.2
Baldur's Gate: Dark Alliance,XB,Role-Playing,Interplay,,0.15,,0.04,0.01,0.2
Playboy: The Mansion,PS2,Simulation,ARUSH Entertainment,,0.1,,0.08,0.03,0.2
Armored Core 4,PS3,Simulation,Sega,6.6,0.09,0.09,0,0.01,0.2
Aikatsu! Cinderella Lesson,3DS,Simulation,Namco Bandai Games,,,0.2,,,0.2
The Great Escape,PS2,Action,Gotham Games,,0.1,,0.07,0.02,0.2
Sloane to MacHale no Nazo no Monogatari,DS,Puzzle,Level 5,,,0.2,,,0.2
Tetris Worlds (Online Edition),XB,Puzzle,THQ,,0.15,,0.04,0.01,0.2
Major League Baseball 2K12,PS3,Sports,Take-Two Interactive,,0.18,,,0.02,0.2
Super Dodge Ball Advance,GBA,Sports,Atlus,,0.14,,0.05,0,0.2
MLB 12: The Show,PSV,Sports,Sony Computer Entertainment America,,0.17,,,0.03,0.2
Cabela's Survival: Shadows of Katmai,Wii,Sports,Activision,,0.14,,0.04,0.01,0.2
Shaman King: Spirit of Shamans,PS,Action,Bandai,,,0.18,,0.01,0.2
Planet 51,Wii,Action,Sega,,0.17,,0.02,0.02,0.2
Dragon Ball: Revenge of King Piccolo,Wii,Action,Namco Bandai,6.1,0.12,0.03,0.03,0.02,0.2
3rd Super Robot Wars Z: Tengoku-Hen,PSV,Action,Namco Bandai Games,,,0.2,,,0.2
Ridge Racer 6,X360,Racing,Namco,7.9,0.1,0.07,0.02,0.01,0.2
Looney Tunes: Space Race,PS2,Racing,Infogrames,,0.1,,0.08,0.03,0.2
X-Men Origins: Wolverine,PSP,Action,Activision,5.4,0.13,,0.04,0.03,0.2
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,Action,Konami,,0.1,,0.08,0.03,0.2
Dante's Inferno,PSP,Action,Electronic Arts,6.6,0.12,0.01,0.04,0.02,0.2
Afro Samurai,PS3,Action,Namco Bandai,6.5,0.12,,0.05,0.03,0.2
Dexter's Lab Chess Challenge,GBA,Misc,BAM! Entertainment,,0.14,,0.05,0,0.2
No More Heroes: Heroes' Paradise,PS3,Action,Konami,7.4,0.1,0.04,0.04,0.02,0.2
Tom and Jerry in House Trap,PS,Action,Mattel Interactive,,0.11,,0.07,0.01,0.2
Power Rangers: Time Force,GBA,Action,THQ,,0.14,,0.05,0,0.2
Warriors Orochi,X360,Action,KOEI,,0.17,,0.01,0.02,0.2
Warriors Orochi,PSP,Action,KOEI,6.4,0.02,0.18,0,0,0.2
From Russia With Love,XB,Action,Electronic Arts,,0.15,,0.04,0.01,0.2
Marvel Super Hero Squad: Comic Combat,PS3,Action,THQ,,0.11,,0.05,0.03,0.2
Shark Tale,XB,Action,Activision,,0.15,,0.04,0.01,0.2
NASCAR Heat 2002,XB,Racing,Infogrames,,0.15,,0.04,0.01,0.2
Drift King Shutokou Battle '94,SNES,Racing,BPS,,,0.2,,,0.2
Need for Speed Carbon: Own the City,DS,Racing,Electronic Arts,,0.17,,0.01,0.02,0.2
Saturday Night Speedway,PS2,Racing,Atari,,0.1,,0.08,0.03,0.2
Forgotten Realms: Demon Stone,PS2,Action,Atari,,0.1,,0.08,0.03,0.2
X-Men Origins: Wolverine,DS,Action,Activision,,0.15,,0.03,0.02,0.2
Agents of Mayhem,PS4,Action,Deep Silver,,0.08,,0.08,0.03,0.2
Captain America: Super Soldier,PS3,Action,Sega,6.2,0.1,,0.07,0.03,0.2
Steins,Gate,PSP,Visual Novel,Nitro+,0.19,,0.19,,
ESA Foundation Compilation,PS2,Misc,Sony Computer Entertainment,,0.1,,0.07,0.02,0.19
Parlor! Mini 4,SNES,Misc,Nippon Telenet,,,0.19,,,0.19
Rock Band Country Track Pack,PS3,Misc,MTV Games,,0.18,,,0.02,0.19
Need for Speed: Shift 2 Unleashed,PC,Racing,Electronic Arts,8.6,0.05,,0.11,0.03,0.19
Hot Wheels: Battle Force 5,Wii,Racing,Activision,,0.17,,0,0.01,0.19
Pac-Man & Galaga Dimensions,3DS,Action,Namco Bandai,5.7,0.1,0.04,0.04,0.01,0.19
Sega GT 2002,XB,Racing,Sega,,0.12,0.03,0.03,0.01,0.19
Fire ProWrestling G,PS,Fighting,Human Entertainment,8,,0.18,,0.01,0.19
Naruto: Ninja Destiny,DS,Fighting,D3Publisher,,0.02,0.16,0.01,0,0.19
WWE All Stars,Wii,Fighting,THQ,,0.1,,0.07,0.02,0.19
F1 2017,XOne,Racing,Deep Silver,9,0.04,,0.13,0.01,0.19
Hot Wheels: Track Attack,Wii,Racing,THQ,,0.14,,0.04,0.01,0.19
Re-Volt,PS,Racing,Acclaim Entertainment,,0.11,,0.07,0.01,0.19
Iron Chef America: Supreme Cuisine,DS,Simulation,Destineer,,0.18,,,0.01,0.19
Driver: San Francisco,PC,Racing,Ubisoft,8.3,0.06,,0.1,0.03,0.19
Jeep Thrills,Wii,Racing,DSI Games,,0.17,,0,0.01,0.19
SBK X: Superbike World Championship,X360,Racing,Deep Silver,,0.1,,0.07,0.02,0.19
Nascar Unleashed,Wii,Racing,Activision,,0.17,,,0.02,0.19
Big Mutha Truckers,XB,Racing,THQ,,0.15,,0.04,0.01,0.19
Nascar Unleashed,3DS,Racing,Activision,,0.18,,,0.02,0.19
Need for Speed: The Run,3DS,Racing,Electronic Arts,,0.09,,0.09,0.02,0.19
Tekken Tag Tournament 2,WiiU,Fighting,Namco Bandai Games,8.1,0.09,0.01,0.07,0.01,0.19
Air Conflicts: Secret Wars,PS3,Simulation,Kalypso,,0.1,,0.06,0.03,0.19
DanceDanceRevolution,PS3,Simulation,Konami,,0.12,,0.05,0.02,0.19
Final Fantasy XI: Online,X360,Role-Playing,Square Enix,6.7,0.17,,0.01,0.01,0.19
Project X Zone 2,3DS,Role-Playing,Namco Bandai Games,6.6,0.06,0.09,0.04,0.01,0.19
Sudeki,XB,Role-Playing,Microsoft Game Studios,,0.14,,0.04,0.01,0.19
Nostalgia,DS,Role-Playing,Ignition Entertainment,7.2,0.16,0.02,,0.01,0.19
Test Drive Unlimited 2,PC,Racing,Atari,6.7,0.05,,0.11,0.03,0.19
IHRA Professional Drag Racing 2005,PS2,Racing,Bethesda Softworks,,0.09,,0.07,0.02,0.19
Happy Cooking,DS,Simulation,Ubisoft,,0.17,,0,0.01,0.19
Imagine: Babyz Fashion,DS,Simulation,Ubisoft,,0.17,,,0.01,0.19
Spore Hero Arena,DS,Simulation,Electronic Arts,4.9,0.18,,0,0.01,0.19
Dawn of Discovery,Wii,Simulation,Ubisoft,7.9,0.12,,0.06,0.01,0.19
Thoroughbred Breeder,SNES,Simulation,Hect,,,0.19,,,0.19
ThunderStrike 2,PS,Simulation,Core Design Ltd.,,0.1,,0.07,0.01,0.19
Camping Mama: Outdoor Adventures,DS,Simulation,Majesco,,0.12,,0.05,0.02,0.19
J-League Pro Soccer Club o Tsukurou! 5,PS2,Sports,Sega,,,0.19,,,0.19
Family Guy,PSP,Adventure,2K Games,5.5,0.18,,0,0.02,0.19
Danganronpa 2: Goodbye Despair,PSP,Adventure,Spike,,,0.19,,,0.19
The Great Ace Attorney - The Adventures of Ryuunosuke Naruhodou,3DS,Adventure,Capcom,,,0.19,,,0.19
Avatar: The Last Airbender - Into the Inferno,Wii,Adventure,THQ,,0.17,,0.01,0.01,0.19
Daigasso! Band Brothers P,3DS,Music,Nintendo,,,0.19,,,0.19
Taiko no Tatsujin: Wii U Version!,WiiU,Music,Namco Bandai Games,,,0.19,,,0.19
Warhammer: Shadow of the Horned Rat,PS,Strategy,SSI,,0.11,,0.07,0.01,0.19
Princess Maker: Yumemiru Yosei,PS,Strategy,Sony Computer Entertainment,,,0.18,,0.01,0.19
Schlag den Raab,Wii,Misc,Namco Bandai,,,,0.17,0.02,0.19
SingStar Pop Vol.2,PS2,Misc,Sony Computer Entertainment,,0.09,,0.07,0.02,0.19
NCAA Final Four 2001,PS2,Sports,Sony Computer Entertainment,,0.09,,0.07,0.02,0.19
Harry Potter: Quidditch World Cup,XB,Sports,Electronic Arts,,0.14,,0.04,0.01,0.19
