title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
Assassin's Creed II,PS3,Action,Ubisoft,9,2.54,0.21,1.95,0.86,5.57
Assassin's Creed,X360,Action,Ubisoft,8.2,3.28,0.07,1.64,0.56,5.55
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,9.6,2.72,0.11,1.89,0.82,5.54
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,9.2,2.99,0.1,1.9,0.51,5.5
Call of Duty: World at War,PS3,Shooter,Activision,8.4,2.75,,1.84,0.84,5.43
Minecraft,XOne,Misc,Microsoft Studios,,3.23,,1.71,0.49,5.43
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,6.9,2.07,0.24,2.29,0.82,5.42
Final Fantasy XIII,PS3,Role-Playing,Square Enix,8,1.75,1.87,1.23,0.51,5.35
Assassin's Creed III,X360,Action-Adventure,Ubisoft,,3.13,0.03,1.71,0.45,5.31
Assassin's Creed II,X360,Action,Ubisoft,9.1,3.14,0.08,1.55,0.52,5.3
Tomb Raider II,PS,Adventure,Eidos Interactive,7.6,2.3,0.2,2.46,0.28,5.24
Madden NFL 2004,PS2,Sports,EA Sports,9.5,4.26,0.01,0.26,0.71,5.23
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,8.3,3.25,0.01,1.49,0.48,5.22
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,5.9,1.98,0.13,2.23,0.8,5.13
Battlefield 1,XOne,Shooter,Electronic Arts,9.3,3.37,0.02,1.26,0.48,5.13
Microsoft Flight Simulator,PC,Simulation,Microsoft,7,3.22,,1.69,0.2,5.12
Guitar Hero II,PS2,Misc,RedOctane,9.2,3.81,,0.63,0.68,5.12
FIFA 13,X360,Sports,EA Sports,,1.1,0.03,3.49,0.5,5.11
Mario & Sonic at the Olympic Games,DS,Sports,Sega,7,1.63,0.44,2.46,0.57,5.1
Fable III,X360,Role-Playing,Microsoft Game Studios,7.8,3.59,0.05,1.09,0.37,5.1
Resident Evil 5,PS3,Action,Capcom,8.6,1.96,1.08,1.42,0.64,5.1
FIFA Soccer 11,PS3,Sports,EA Sports,8.7,0.61,0.06,3.28,1.12,5.08
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,8.4,1.7,0.16,2.03,1.19,5.08
Final Fantasy XV,PS4,Role-Playing,Square Enix,8.1,1.81,1.05,1.53,0.68,5.07
Fallout 4,XOne,Role-Playing,Bethesda Softworks,8.4,2.94,0.02,1.62,0.45,5.03
Tony Hawk's Pro Skater,PS,Sports,Activision,9.6,3.42,0.02,1.38,0.2,5.02
Warzone 2100,PS,Strategy,Eidos Interactive,,2.79,,1.89,0.33,5.01
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,8.2,3.49,0.01,0.01,1.48,4.98
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,8.7,2.32,0.12,1.73,0.8,4.97
Fallout 3,X360,Role-Playing,Bethesda Softworks,9,3.41,0.09,0.99,0.46,4.96
Madden NFL 06,PS2,Sports,EA Sports,9.1,3.98,0.01,0.26,0.66,4.91
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,,3.27,,1.12,0.46,4.85
Assassin's Creed,PS3,Action,Ubisoft,8.2,1.91,0.09,2.01,0.82,4.83
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,,1.09,0.07,2.92,0.74,4.83
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,,2.91,,1.44,0.44,4.79
Crash Team Racing,PS,Racing,Sony Computer Entertainment,9.2,2.57,0.44,1.57,0.21,4.79
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,7.8,2.83,,1.49,0.45,4.77
Batman: Arkham City,X360,Action,Warner Bros. Interactive,9.5,2.99,0.04,1.28,0.44,4.75
Driver 2,PS,Action,Atari,7,2.36,0.02,2.1,0.25,4.73
